	ProgrammingLanguageName	QueryID	PairID	QueryText	CommentText	SimilarityScore
153322	PHP	22	PHPOffice_PHPExcel_Calculation_163	povezivanje na sql server	Nabavite listu implementiranih imena Excel funkcija	0.0
125402	PHP	2	symfony_http-foundation_UploadedFile_9948	red sa prioritetom	Vraća maksimalnu veličinu učitane datoteke kako je konfigurisana u php.ini fajlu	0.0
124080	PHP	80	PrestaShop_PrestaShop_Alias_810	nasumično izvuci x stavki iz liste	Dohvatanje svih pronađenih pseudonima iz baze podataka pomoću upita za pretragu	0.0
148179	PHP	79	symfony_http-foundation_UrlHelper_8061	dohvati opis http statusnog koda	Pomoćna usluga za manipulisanje URL-ovima unutar i izvan opsega zahteva	0.0
149734	PHP	34	thephpleague_oauth2-server_AuthorizationServer_3455	nepromenjivi (readonly) niz	Vraća odgovor tokena pristupa	0.0
58494	PHP	94	Intervention_image_FilterInterface_563	oduzimanje medijana iz svake kolone	Primeni filtere na datoj slici.	0.0
94654	PHP	54	PHPOffice_PHPExcel_PHPExcel_109	hashset za određivanje broja različitih elemenata	Vra?a broj listova	0.0
126960	PHP	60	twigphp_Twig_Compiler_9130	prilagođeni http odgovor greške	Dodaje citirani niz kompajliranom kodu	0.0
98526	PHP	26	PHPOffice_PHPWord_SettingsTest_1017	dohvatanje trenutne ip adrese	Test postavljanje/vra?anje podrazumevanog imena fonta	0.0
128652	PHP	52	markrogoyski_math-php_TrapezoidalRule_3032	normalna raspodela	Koristite trapezoidno pravilo za približavanje konačnog integrala funkcije f(x). Naš ulaz može podržati ili skup nizova, ili funkciju povratnog poziva sa argumentima (za stvaranje niza nizova). Svaki niz u našem ulazu sadrži dva broja koji odgovaraju koordinatama (x, i) ili ekvivalentno, (x, f(x)), funkcije f(x) čiji konačni integral aproksimiramo. Granice konačnog integrala kojem se približavamo određene su našim ulazima. Primer: approximate([0, 10], [3, 5] , [10, 7]) približiće konačni integral funkcije koja proizvodi ove koordinate sa donjom granicom 0, a gornjom granicom 10. Primer: approximate(funkcija ($x) {vrati $x skup nizova procenom povratnog poziva u 5 ravnomerno raspoređenih tačaka između 0 i 4. Tada će se ovaj niz koristiti u našoj aproksimaciji	0.0
149274	PHP	74	ramsey_uuid_Uuid_1959	dohvatanje svih roditelja xml čvora	Ponovo konstruiše objekat iz njegovog serializovanog oblika	0.0
71306	PHP	6	PrestaShop_PrestaShop_AddressFormat_794	postgresql konekcija	Proveri da li su postavljena polja validna.	0.0
119072	PHP	72	briannesbitt_Carbon_Language_364	izvlačenje podataka iz sadržaja html koda	 Vraća listu svih poznatih jezika.	0.0
139807	PHP	7	wallabag_wallabag_SymfonyRequirements_2453	konfuziona matrica	Ova klasa navodi sve zahteve i opcionalne preporuke koji su potrebni za pokretanje Symfony Standard Edition	0.0
104231	PHP	31	PrestaShop_PrestaShop_Attachment_816	dohvatanje unutrašnjeg svojstva html taga	Brisanje Product priloga za dati Product ID.	0.0
15289	PHP	89	markrogoyski_math-php_Descriptive_3486	kako pročitati sadržaj iz .gz zapakovanog fajla	Varijansa populacije - Koristi se kada su sva merenja dostupna. Ako se koristi na podskupu podataka može biti pristrasna varijansa. 	0.0
42006	PHP	6	PrestaShop_PrestaShop_Access_767	postgresql konekcija	Pronađi deo adrese na osnovu identifikatora modula	0.0
123882	PHP	82	yiisoft_yii2_ReleaseController_975	pretvoriti utc vreme u epohu	Prikazuje informacije o trenutnom frejmvorku i proširenim verzijama.	0.0
26970	PHP	70	yiisoft_yii2_Application_1023	štampanje rezimea modela	Pokreće aplikaciju. Ovo je glavni ulaz u aplikaciju.	0.0
16057	PHP	57	markrogoyski_math-php_Integer_2978	pronađi int unutar stringa	Faktorizacija na proste činioce. 	0.0
82984	PHP	84	Intervention_image_Decoder_646	izvuci geografsku širinu i dužinu iz datog unosa	Pretvara objekat u jedan frame Imagick objekta uklanjanjem svih frejmova osim prvog	0.0
2369	PHP	69	Intervention_image_GammaCommand_603	matrica množenja	Primeni gama korekciju na zadatu sliku	0.0
52893	PHP	93	Intervention_image_AbstractFont_458	čitanje elemenata iz html-a - <td>	Dohvati text za ispisivanje.	0.0
22392	PHP	92	phacility_phabricator_diff_match_patch_453	pozicije podstingova u stringu	Razmatra presek između dva teksta.	0.0
39771	PHP	71	phalcon_cphalcon_Optimized_1228	jedinstveni elementi	Klasa koja koristi predhodno generisan siguran bild i koristi ga za generisanje optimizovan bild za ciljnu platformu.	0.0
57708	PHP	8	Intervention_image_Encoder_587	postavljanje radnog direktorijuma	Procesuiraj i vrati šifrovanu sliku kao PSD string.	0.0
80405	PHP	5	Intervention_image_Color_569	čuvanje liste u datoteku	 Izra?unava celobrojnu vrednost trenutne instance boje	0.0
16151	PHP	51	markrogoyski_math-php_Integer_2982	kako nasumično izabrati broj	Neparan broj. Proverava da li je broj neparan.	0.0
67497	PHP	97	PHPOffice_PHPWord_PhpWordTest_1003	rangiranje fazi članova na osnovu stepena podudaranja	Sačuvaj test.	0.0
123376	PHP	76	woocommerce_woocommerce_class-wc-breadcrumb_1837	podvuci tekst u label vidžetu	Dodavanje breadcrumb za straničenje.	0.0
97915	PHP	15	PHPOffice_PHPWord_PhpWord_890	pretvaranje decimalnog u heksadecimalni broj	Sortira odeljke koristec?i prosle?eni poziv	0.0
34628	PHP	28	src_Clusterers_KMeans_805	isčitavanje tekstualne datoteke liniju po liniju	Vraća broj obučavajućih uzoraka za koje je svaki centroid zadužen.	0.0
113634	PHP	34	botman_botman_BotMan_541	nepromenjivi (readonly) niz	Oslukiva? za priloge lokacije. 	0.0
143114	PHP	14	jorgecasas_php-ml_Apriori_811	upisivanje u csv datoteku	Izračunava česte k skupove predmeta, gde je count($samples) == $k - 1	0.0
10393	PHP	93	jorgecasas_php-ml_FuzzyCMeans_877	čitanje elemenata iz html-a - <td>	Cilj je minimizacija udaljenost između svih tačaka i svih centara grupa. Metod vraća sumu svih ovih udaljenosti.	0.0
32469	PHP	69	ircmaxell_RandomLib_Generator_651	matrica množenja	Klasa generatora nsaumičnih brojeva. Koristiti ovu fabriku za generisanje nasumičnih brojeva kriptografskog kvaliteta.	0.0
3146	PHP	46	PHPOffice_PHPWord_TemplateProcessor_964	kako obrnuti string	Menja promenljive vrednostima iz niza gde su ključevi niza nazivi promenljivih.	0.0
65137	PHP	37	PHPOffice_PHPExcel_DocumentSecurity_259	parsiranje json datoteke	Implementacija funkcije za duboko kopiranje objekata.	0.0
5469	PHP	69	briannesbitt_Carbon_CarbonInterface_143	matrica množenja	Broj sekundi do kraja dana	0.0
149437	PHP	37	symfony_http-kernel_Extension_3224	parsiranje json datoteke	Dodaje označene klase u keš klasu	0.0
93450	PHP	50	PHPOffice_PHPExcel_Cell_186	konverzija json u xml datoteku	Poredi 2 ?elije	0.0
152619	PHP	19	yiisoft_yii2_BaseYii_991	lepo ispiši json	Prikazuje niz koji predstavlja trenutnu verziju Iii okvira	0.0
56381	PHP	81	Intervention_image_Constraint_478	konvertuj string datum u yyyymmdd format	Proveri da li je dati argument ispravljen sa trenutnim ograničenjem.	0.0
55153	PHP	53	Intervention_image_Color_571	Nelder-Mead optimizacija	Dohvati RGBA vrednosti u string formatu trenutne instance boje.	0.0
78762	PHP	62	Intervention_image_AbstractDecoder_432	zamena http entiteta	   Odlu?uje da li je trenutni izvor podataka base64 enkodiran 	0.0
122710	PHP	10	walkor_Workerman_Worker_7371	binomna raspodela	Stopiranje.	0.0
101125	PHP	25	PHPOffice_PHPWord_TemplateProcessor_962	parsiranje binarne datoteke u prilagođenu klasu	Traži krajnji položaj najbližeg reda tabele nakon $offset. 	0.0
105236	PHP	36	PrestaShop_PrestaShop_AttributeGroup_837	mapa u json	Vra?a vrednosti trenutnog AttributeGroup za web servis.	0.0
122311	PHP	11	walkor_Workerman_Worker_7347	aes šifrovanje	Formatiranje statusnih podataka.	0.0
72855	PHP	55	walkor_Workerman_AsyncTcpConnection_8699	kako dohvatiti naziv tabele iz baze	Proveri da li je konekcija uspostavljena ili ne.	0.0
8207	PHP	7	hamcrest_hamcrest-php_Hamcrest_1814	konfuziona matrica	Proveri da li niz sadrži i ključ i vrednost koji su upareni.	0.0
124492	PHP	92	PrestaShop_PrestaShop_Address_787	pozicije podstingova u stringu	Proverava da li pseudonim već postoji	0.0
60360	PHP	60	Intervention_image_Image_486	prilagođeni http odgovor greške	Primeni filtere na datoj slici.	0.0
93236	PHP	36	PHPOffice_PHPExcel_Cell_183	mapa u json	Vra?a stil ?elije	0.0
13531	PHP	31	markrogoyski_math-php_Bernoulli_3213	dohvatanje unutrašnjeg svojstva html taga	Medijana raspodele.	0.0
134479	PHP	79	walkor_Workerman_Worker_7769	dohvati opis http statusnog koda	Dohvatiti ime soketa	0.0
136268	PHP	68	symfony_debug_ExceptionHandler_2259	aes šifrovanje u ctr načinu rada	Formatira niz kao string	0.0
117099	PHP	99	briannesbitt_Carbon_CarbonInterval_263	kako efikasno pročitati .csv datoteku	 Određuje da li je instanca veća (duža) ili jednaka drugoj	0.0
119766	PHP	66	cakephp_cakephp_DefaultPasswordHasher_1196	kako dohvatiti html kod sa veb sajta	Vraća tačno ako lozinka ponovo mora biti heširana, ukoliko je lozinka kreirana sa bilo čim osim lozinke koju je generisala ova klasa.	0.0
132333	PHP	33	PrestaShop_PrestaShop_Address_780	formatiranje datuma	Proverite da li je država aktivna za datu adresu	0.0
25778	PHP	78	symfony_http-foundation_AcceptHeaderItem_9687	kopiranje putanje fajla	Vraća vrednost zaglavlja u obliku stringa.	0.0
74848	PHP	48	CachetHQ_Cachet_AbstractTestCase_1195	prekopiraj u klibord	 Podešavanje potrebne konfiguracije za pokretanje testova. 	0.0
144185	PHP	85	symfony_http-foundation_BinaryFileResponse_8747	kako proveriti da je checkbox štikliran	BinariFileResponse predstavlja HTTP odgovor	0.0
78071	PHP	71	Intervention_image_AbstractDecoder_422	jedinstveni elementi	 Odlu?uje da li je trenutni izvor podataka GD izvor	0.0
56341	PHP	41	Intervention_image_Constraint_478	kreiraj kolačić	Proveri da li je dati argument ispravljen sa trenutnim ograničenjem.	0.0
107719	PHP	19	TheAlgorithms_PHP_linear_search_2071	lepo ispiši json	Linearna pretraga u PHP	0.0
75516	PHP	16	CachetHQ_Cachet_RemoveComponentGroupCommand_1169	izvoz podataka u excel	 Kreiranje nove instance komande za uklanjanje komponente grupe.	0.0
105964	PHP	64	PrestaShop_PrestaShop_CMSCategory_855	sortiraj više nizova na osnovu redosleda drugih sortiranih nizova	 Vra?a niz sve dece trenutne CMSCategory. 	0.0
18592	PHP	92	markrogoyski_math-php_Search_2514	pozicije podstingova u stringu	Nađi indeks minimalne vrednosti niza. U slučaju da se minimalna vrednost pojavljuje više puta, vraća se indeks prvog pojavljivanja.	0.0
59156	PHP	56	Intervention_image_GetSizeCommand_604	deserializacija json-a	Pročitaj veličinu date instance slike u pikselima.	0.0
93097	PHP	97	PHPOffice_PHPExcel_Cell_181	rangiranje fazi članova na osnovu stepena podudaranja	Da li je ova c?elija glavna (gornja leva c?elija) u opsegu objedinjavanja (koji sadrži stvarnu vrednost podataka)	0.0
69794	PHP	94	PHPOffice_PHPWord_TemplateProcessor_951	oduzimanje medijana iz svake kolone	Sačuvaj rezultate dokumenta u korisnički definisanu datoteku.	0.0
86014	PHP	14	Intervention_image_ImageServiceProviderLaravelRecent_519	upisivanje u csv datoteku	 Butstrapuje imagecache	0.0
132455	PHP	55	markrogoyski_math-php_Combinatorics_3052	kako dohvatiti naziv tabele iz baze	Centralni binomni koeficijent	0.0
36644	PHP	44	dompdf_dompdf_Helpers_613	kako štiklirati checkbox	Pretvori decimalane u rimske brojeve.	0.0
12235	PHP	35	markrogoyski_math-php_ArbitraryInteger_2902	filtriranje niza	Negacija - množenje sa -1	0.0
63258	PHP	58	PHPOffice_PHPExcel_Calculation_139	dohvatanje jedinstvenog identifikatora trenutnog procesa	Kloniranje objekata nije dozvoljeno u Singlton klasama.	0.0
99848	PHP	48	PHPOffice_PHPWord_Style_922	prekopiraj u klibord	Kolekcija stilova	0.0
43512	PHP	12	BookStackApp_BookStack_2015_07_12_114933_create_books_table_766	linearna regresija	Poništi migracije	0.0
46796	PHP	96	CachetHQ_Cachet_helpers_1162	parsiranje query stringa u url-u	Dohvati tamniju nijansu boje.	0.0
96256	PHP	56	PHPOffice_PHPWord_CollectionTest_1048	deserializacija json-a	Testna kolekcija	0.0
150495	PHP	95	symfony_var-dumper_Stub_9244	uklanjanja zaglavlja prilikom spajanja nekoliko datoteka	Predstavlja glavna svojstva PHP promenljive	0.0
138352	PHP	52	mockery_mockery_Container_439	normalna raspodela	Dobijte trenutni naručeni broj	0.0
143472	PHP	72	symfony_css-selector_Translator_3301	izvlačenje podataka iz sadržaja html koda	Interfejs prevodioca izraza XPath. Ova komponenta je port Python cssselect biblioteke	0.0
11436	PHP	36	lcobucci_jwt_Encoder_3363	mapa u json	Enkodira podatke kao base64url.	0.0
101302	PHP	2	PrestaShop_PrestaShop_Access_764	red sa prioritetom	Traži Tab ID po žetonu.	0.0
97664	PHP	64	PHPOffice_PHPWord_PhpWordTest_999	sortiraj više nizova na osnovu redosleda drugih sortiranih nizova	 Test dodavanje stila	0.0
9969	PHP	69	jorgecasas_php-ml_DecisionStump_857	matrica množenja	Vraća verovatnoću da uzorak pripada datom cilju. Verovatnoća uzorka se računa kao odnos cilj među ciljevima uzoraka iz skupa za obučavanje za čvor odlučivanja.	0.0
65504	PHP	4	PHPOffice_PHPExcel_PHPExcel_116	sortiranje string liste	Implementacija funkcije za duboko kopiranje objekata.	0.0
83072	PHP	72	Intervention_image_DemoFilter_562	izvlačenje podataka iz sadržaja html koda	Primenjuje efekat filtera na datu sliku	0.0
147073	PHP	73	symfony_symfony_AbstractDoctrineExtension_1827	toplotna mapa iz 3d koordinata	Registrujte pseudonim za ovaj drajver za mapiranje. Aliasi se mogu koristiti u jezicima upita svih Doctrine menadžera objekata radi pojednostavljenja zadataka pisanja	0.0
6108	PHP	8	danielstjules_Stringy_Stringy_10272	postavljanje radnog direktorijuma	Vraća tačno ukoliko string sadrži veliko slovo.	0.0
145610	PHP	10	symfony_http-foundation_IpUtils_8805	binomna raspodela	Poredi dve IPv6 adrese. U slučaju davanja podmreže, ona proverava da li sadrži IP zahtev	0.0
68248	PHP	48	PHPOffice_PHPWord_ProofStateTest_1055	prekopiraj u klibord	Funkcija za testiranje getera i setera.	0.0
122819	PHP	19	walkor_Workerman_Worker_7379	lepo ispiši json	Logovanje.	0.0
73722	PHP	22	BookStackApp_BookStack_CommentRepo_751	povezivanje na sql server	 Vra?a komentar po ID. 	0.0
142464	PHP	64	symfony_debug_BufferingLogger_1725	sortiraj više nizova na osnovu redosleda drugih sortiranih nizova	Loger bafera slaže evidencije za kasnije	0.0
137470	PHP	70	composer_composer_Cache_2474	štampanje rezimea modela	Čita/piše u fajl sistem keš memoriju	0.0
149389	PHP	89	symfony_finder_FilenameFilterIterator_414	kako pročitati sadržaj iz .gz zapakovanog fajla	FilenameFilterIterator filtrira datoteke prema obrascima (regularni izraz, glob ili string)	0.0
144008	PHP	8	phalcon_cphalcon_Safe_179	postavljanje radnog direktorijuma	Generišite sve datoteke u izlaznom direktorijumu	0.0
6817	PHP	17	dompdf_dompdf_Cpdf_345	dijagram rasejanja	Ispunjen pravougaonik. Obratiti pažnju da su širina i visina sekundarni parametri, a ne koordinate gornjeg desnog ugla.	0.0
107392	PHP	92	Sylius_Sylius_LaminasPriorityQueueStub_458	pozicije podstingova u stringu	 Serijalizacija strukture podataka	0.0
63074	PHP	74	PHPOffice_PHPExcel_CachedObjectStorageFactory_132	dohvatanje svih roditelja xml čvora	Dohvati lisu svih dostupnih metoda za keširanje.	0.0
68982	PHP	82	PHPOffice_PHPWord_Settings_910	pretvoriti utc vreme u epohu	Postavi jedinicu mere.	0.0
137702	PHP	2	phalcon_cphalcon_Optimized_1558	red sa prioritetom	Vraća filtere za linije za obradu iz sigurnog univerzalnog phalcon.c	0.0
108400	PHP	0	barryvdh_laravel-debugbar_LumenServiceProvider_122	upit	Vra?a putanju konfiguracije	0.0
65979	PHP	79	PHPOffice_PHPWord_AbstractCollection_973	dohvati opis http statusnog koda	Dodaj novi podatak u kolekciju.	0.0
122531	PHP	31	walkor_Workerman_Worker_7353	dohvatanje unutrašnjeg svojstva html taga	Čuvanje pid.	0.0
29185	PHP	85	thephpleague_csv_Stream_454	kako proveriti da je checkbox štikliran	Dohvati liniju iz fajla.	0.0
80432	PHP	32	Intervention_image_Color_569	pretvaranje string u broj	 Izra?unava celobrojnu vrednost trenutne instance boje	0.0
123125	PHP	25	walkor_Workerman_Worker_7759	parsiranje binarne datoteke u prilagođenu klasu	Upis statističkih podataka na disk.	0.0
142448	PHP	48	symfony_debug_BufferingLogger_1725	prekopiraj u klibord	Loger bafera slaže evidencije za kasnije	0.0
115198	PHP	98	briannesbitt_Carbon_CarbonInterval_217	izlaz u html datoteku	Prikazuje trenutnu konfiguraciju za sekunde u minuti.	0.0
92851	PHP	51	PHPOffice_PHPExcel_Cell_175	kako nasumično izabrati broj	Vra?a pravila za proveru podataka	0.0
101914	PHP	14	PrestaShop_PrestaShop_AddressFormat_798	upisivanje u csv datoteku	Postavlja klju? izgleda sa odgovornom vrednoš?u	0.0
124206	PHP	6	symfony_http-foundation_Request_7937	postgresql konekcija	Generiše normalizovani URI (URL) za zahtev	0.0
150356	PHP	56	squizlabs_PHP_CodeSniffer_Runner_911	deserializacija json-a	Izvodi pokretanje	0.0
115241	PHP	41	briannesbitt_Carbon_CarbonInterval_218	kreiraj kolačić	Prikazuje trenutnu konfiguraciju za mikrosekunde u sekundi.	0.0
100169	PHP	69	PHPOffice_PHPWord_Style_926	matrica množenja	Preboj stilove	0.0
53472	PHP	72	Intervention_image_AbstractFont_469	izvlačenje podataka iz sadržaja html koda	Postavi putanju do font datoteke.	0.0
122793	PHP	93	walkor_Workerman_Worker_7371	čitanje elemenata iz html-a - <td>	Stopiranje.	0.0
13437	PHP	37	markrogoyski_math-php_Bernoulli_3212	parsiranje json datoteke	Srednja vrednost raspodele.	0.0
59749	PHP	49	Intervention_image_ImageServiceProviderLaravel4_514	pretvaranje html stranice u pdf	Registruj servis provajder.	0.0
103178	PHP	78	PrestaShop_PrestaShop_Address_784	kopiranje putanje fajla	Navodi da li adresa ve? postoji u bazi.	0.0
56875	PHP	75	Intervention_image_Decoder_642	kako rekurzivno raspakovati zip datoteku	Inicijalizuj novu sliku sa date putanje u fajl sistemu.	0.0
61161	PHP	61	Intervention_image_OpacityCommand_612	kako odrediti da li je string valida reč	Definiši providnost slike.	0.0
32476	PHP	76	ircmaxell_RandomLib_Generator_651	podvuci tekst u label vidžetu	Klasa generatora nsaumičnih brojeva. Koristiti ovu fabriku za generisanje nasumičnih brojeva kriptografskog kvaliteta.	0.0
20295	PHP	95	matomo-org_matomo_Controller_921	uklanjanja zaglavlja prilikom spajanja nekoliko datoteka	Rukuje akcijama. Ovo će se pozvati ukoliko stranica nema način da upravlja određenom akcijom. Takođe, metod učitava i koristi podrazumevane upravljače za česte akcije ukoliko drugi nisu dodati.	0.0
109354	PHP	54	bcit-ci_CodeIgniter_Config_349	hashset za određivanje broja različitih elemenata	Postavljanje stavke konfiguracinog fajla	0.0
43350	PHP	50	symfony_polyfill-mbstring_Mbstring_741	konverzija json u xml datoteku	"Parcijalna implementacija mbstring-a u PHP-u, zasnovana na iconv a usredsređena na UTF-8. Implementirano je sledeće: mb_chr - vraća određen znak sa njegove Unicode kodne tačke. mb_convert_encoding - konvertuj šifrirane karaktere. mb_convert_variables    - Pretvori karaktere promenljivih u kodu. mb_decode_mimeheader    - Dekodiraj string u polju MIME zaglavlja. mb_encode_mimeheader    - Kodiraj string za MIME zaglavlje. mb_decode_numericentity - Dešifruj HTML numeričku string referencu u karakter.mb_encode_numericentity - Kodiraj znak u HTML numeričku string referencu. mb_convert_case - Pronađi preklapanja u stringu. mb_detect_encoding - Detektuj kodirane znakove. mb_get_info - Dohvati podešavanje za interval mbstringa. mb_http_input - Detektuj šifrovani ulazni http karakter. mb_http_output - Postavi / Dohvati šifrovan izlazni http karakter. mb_internal_encoding - Postavi / Dohvati šifrovan ulazni http karakter. mb_list_encodings - Vrati niz svih podržanih šifrovanja. mb_ord - Vrati Unicode kodnu tačku za karakter. mb_output_handler - Funkcija povratnog poziva koja pretvara kodirannje karaktera u izlazni bafer. mb_scrub - zamenjuje loše odlikovane sekvence bajtova zamenskim znakovima. mb_strlen - Dohvati dužinu niza. mb_strpos - Pronađite položaj prvog pojavljivanja reči u stringu. mb_strrpos - Pronađite položaj zadnjeg pojavljivanja reči u stringu. mb_str_split - Pretvori string u niz stringova. mb_strtolower - Smanji sva slova u stringu. mb_strtoupper - Uvećaj sva slova u stringu. mb_substitute_character - Postavi / Dohvati zamenske karaktere. mb_substr - Dohvati deo stringa. mb_stripos - Pronalazi položaj prvog pojavljivanja stringa u drugom, nerazlikujući velika i mala slova. mb_stristr - Pronalazi prvo pojavljivanje stringa u drugom, nerazlikujući velika i mala slova. mb_strrchr - Pronalazi poslednje pojavljivanje karaktera u stringu unutar drugog stringa. mb_strrichr - Pronalazi poslednju pojavu znaka pri traženju stringa u okviru stringa ne razlikujući velika i mala slova. mb_strripos - Pronalazi poslednju poziciju znaka pri traženju stringa u okviru stringa ne razlikujući velika i mala slova. mb_strstr - Pronalazi prvu pojavu stringa u okviru drugog. mb_strwidth - Vraća dužinu stringa. mb_substr_count - Prebroj broj pojavljivanja substringova. Nije implementirano:  mb_convert_kana - Konvertuj ""kana"" iz drugog (""zen-kaku"", ""han-kaku"" and drugih). mb_ereg_* - Regularna izraz sa podrškom više bajtova. mb_parse_str - Analizirati GET/POST/COOKIE podatke i postaviti globalne varijable. mb_preferred_mime_name - Dohvati MIME niz znakoga. mb_regex_encoding - Vrati sadašnje kodiranje za višebajtni regularni izraz u stringu. mb_regex_set_options    - Postavi / Dohvati podrazumevane opcije za mbregex funkcije. mb_send_mail - Pošalji šifrovan mail. mb_split - Podeli višebajtne stringove koristeći regulare izraze. mb_strcut - Dohvati deo stringa. mb_strimwidth - Dohvati skraćeni niz sa naznačenom širinom."	0.0
102709	PHP	9	PrestaShop_PrestaShop_Address_780	grupisanje po izbrojanim podacima	Proverava da li je država aktivna za datu adresu.	0.0
22570	PHP	70	phacility_phabricator_diff_match_patch_466	štampanje rezimea modela	Prevara razliku nizova u lep HTML izveštaj	0.0
142664	PHP	64	guzzle_guzzle_BodySummarizer_1389	sortiraj više nizova na osnovu redosleda drugih sortiranih nizova	Prikazuje sažeto telo poruke	0.0
120952	PHP	52	briannesbitt_Carbon_CarbonPeriod_354	normalna raspodela	Nastavlja sa inkrementacijom trenutnog datuma dok ne dođe do validnog datuma ili se iteracija završi.	0.0
67459	PHP	59	PHPOffice_PHPWord_PhpWordTest_1003	regex ne razlikuje velika i mala slova	Sačuvaj test.	0.0
104505	PHP	5	PrestaShop_PrestaShop_Attachment_820	čuvanje liste u datoteku	Vra?a Attachment ID-ijeve za dati Product u okviru opsega Id-ijeva priloga.	0.0
21694	PHP	94	phacility_phabricator_class.phpmailer-lite_525	oduzimanje medijana iz svake kolone	Proveri da li string izgleda otprilike kako bi email adresa trebalo da izgleda. Statičan kako bi mogao da se koristi bez instanciranja. Pokušava da koristi ugrađeni validator, ali u slučaju da ne može da ga koristi, uzima razumno složen regex validator.	0.0
6238	PHP	38	danielstjules_Stringy_Stringy_10274	dohvati trenutnu vrednost posmatrača	Ubacuje podstring u string na željenu poziciju.	0.0
23418	PHP	18	predis_predis_Client_2129	pretvaranje json u csv	Zatvara osnovnu vezu i otkačuje se sa servera.	0.0
29802	PHP	2	thephpleague_csv_XMLConverter_515	red sa prioritetom	Filtrira XML element po nazivu.	0.0
22262	PHP	62	phacility_phabricator_diff_match_patch_451	zamena http entiteta	Deli tekst u niz stringova. Zatim smanjuje tekst u string hešova gde svaki karakter odgovara jednoj liniji.	0.0
12494	PHP	94	markrogoyski_math-php_ArbitraryInteger_2908	oduzimanje medijana iz svake kolone	Množenje. Vrati rezultat množenja dva ArbitratyIntegera.	0.0
95967	PHP	67	PHPOffice_PHPExcel_PHPExcel_98	baferisano čitanje teksta čitačem fajlova	 Odspojiti sve radne listove iz ovog PHPExcel objekta, obi?no da bi se mogao PHPExcel objekat poništiti	0.0
